time_stamp,MAC_dst,MAC_src,ETher_type,ttl,proto,IP_src,IP_dst,sport,dport
1783817346.8773582,1c:ec:72:39:95:20,d4:e9:8a:f7:44:46,2048,128,6,172.16.1.47,20.184.175.0,23399,443
1783817346.8774462,1c:ec:72:39:95:20,d4:e9:8a:f7:44:46,2048,128,6,172.16.1.47,142.251.118.119,32521,443
1783817346.877489,1c:ec:72:39:95:20,d4:e9:8a:f7:44:46,2048,128,6,172.16.1.47,142.251.118.119,32521,443
1783817346.8775513,1c:ec:72:39:95:20,d4:e9:8a:f7:44:46,2048,128,17,172.16.1.47,168.126.63.1,50296,53
1783817346.8776517,1c:ec:72:39:95:20,d4:e9:8a:f7:44:46,2048,128,17,172.16.1.47,168.126.63.1,50060,53
1783817346.8777354,1c:ec:72:39:95:20,d4:e9:8a:f7:44:46,2048,128,6,172.16.1.47,142.251.118.119,32521,443
1783817346.877815,1c:ec:72:39:95:20,d4:e9:8a:f7:44:46,2048,128,6,172.16.1.47,142.251.118.119,32521,443
1783817346.8778963,1c:ec:72:39:95:20,d4:e9:8a:f7:44:46,2048,128,6,172.16.1.47,142.251.118.119,32521,443
1783817346.8779802,1c:ec:72:39:95:20,d4:e9:8a:f7:44:46,2048,128,6,172.16.1.47,142.251.118.119,32521,443
1783817346.8780577,1c:ec:72:39:95:20,d4:e9:8a:f7:44:46,2048,128,6,172.16.1.47,142.251.118.119,32521,443
1783817346.878096,1c:ec:72:39:95:20,d4:e9:8a:f7:44:46,2048,128,6,172.16.1.47,142.251.118.119,32521,443
1783817346.8781347,1c:ec:72:39:95:20,d4:e9:8a:f7:44:46,2048,128,6,172.16.1.47,142.251.118.119,32521,443
1783817346.8781695,1c:ec:72:39:95:20,d4:e9:8a:f7:44:46,2048,128,6,172.16.1.47,142.251.118.119,32521,443
1783817346.8782055,1c:ec:72:39:95:20,d4:e9:8a:f7:44:46,2048,128,6,172.16.1.47,142.251.118.119,32521,443
1783817346.8782508,1c:ec:72:39:95:20,d4:e9:8a:f7:44:46,2048,128,6,172.16.1.47,142.251.118.119,32521,443
1783817346.8782866,1c:ec:72:39:95:20,d4:e9:8a:f7:44:46,2048,128,6,172.16.1.47,142.251.118.119,32521,443
1783817346.8783255,1c:ec:72:39:95:20,d4:e9:8a:f7:44:46,2048,128,6,172.16.1.47,142.251.118.119,32521,443
1783817346.8783755,d4:e9:8a:f7:44:46,1c:ec:72:39:95:20,2048,51,17,168.126.63.1,172.16.1.47,53,50296
1783817346.878544,d4:e9:8a:f7:44:46,1c:ec:72:39:95:20,2048,51,17,168.126.63.1,172.16.1.47,53,50060
1783817346.8786278,1c:ec:72:39:95:20,d4:e9:8a:f7:44:46,2048,128,6,172.16.1.47,142.251.119.132,40222,443
1783817346.8787496,d4:e9:8a:f7:44:46,1c:ec:72:39:95:20,2048,99,6,20.184.175.0,172.16.1.47,443,23399
1783817346.8787882,1c:ec:72:39:95:20,d4:e9:8a:f7:44:46,2048,128,6,172.16.1.47,20.184.175.0,23399,443
1783817346.878858,1c:ec:72:39:95:20,d4:e9:8a:f7:44:46,2048,128,6,172.16.1.47,20.184.175.0,23399,443
1783817346.8789175,d4:e9:8a:f7:44:46,1c:ec:72:39:95:20,2048,113,6,142.251.118.119,172.16.1.47,443,32521
1783817346.8789563,d4:e9:8a:f7:44:46,1c:ec:72:39:95:20,2048,113,6,142.251.118.119,172.16.1.47,443,32521
1783817346.879026,d4:e9:8a:f7:44:46,1c:ec:72:39:95:20,2048,113,6,142.251.118.119,172.16.1.47,443,32521
1783817346.879097,d4:e9:8a:f7:44:46,1c:ec:72:39:95:20,2048,113,6,142.251.118.119,172.16.1.47,443,32521
1783817346.8791714,1c:ec:72:39:95:20,d4:e9:8a:f7:44:46,2048,128,6,172.16.1.47,142.251.118.119,32521,443
1783817346.8792453,d4:e9:8a:f7:44:46,1c:ec:72:39:95:20,2048,113,6,142.251.118.119,172.16.1.47,443,32521
1783817346.8793187,1c:ec:72:39:95:20,d4:e9:8a:f7:44:46,2048,128,6,172.16.1.47,142.251.118.119,32521,443
1783817346.8793702,d4:e9:8a:f7:44:46,1c:ec:72:39:95:20,2048,113,6,142.251.118.119,172.16.1.47,443,32521
1783817346.8794103,d4:e9:8a:f7:44:46,1c:ec:72:39:95:20,2048,113,6,142.251.118.119,172.16.1.47,443,32521
1783817346.87947,1c:ec:72:39:95:20,d4:e9:8a:f7:44:46,2048,128,6,172.16.1.47,142.251.118.119,32521,443
1783817346.8795316,d4:e9:8a:f7:44:46,1c:ec:72:39:95:20,2048,113,6,142.251.118.119,172.16.1.47,443,32521
1783817346.879594,d4:e9:8a:f7:44:46,1c:ec:72:39:95:20,2048,113,6,142.251.118.119,172.16.1.47,443,32521
1783817346.8796515,1c:ec:72:39:95:20,d4:e9:8a:f7:44:46,2048,128,6,172.16.1.47,142.251.118.119,32521,443
1783817346.8797112,d4:e9:8a:f7:44:46,1c:ec:72:39:95:20,2048,113,6,142.251.118.119,172.16.1.47,443,32521
1783817346.8797657,d4:e9:8a:f7:44:46,1c:ec:72:39:95:20,2048,113,6,142.251.118.119,172.16.1.47,443,32521
1783817346.8798258,1c:ec:72:39:95:20,d4:e9:8a:f7:44:46,2048,128,6,172.16.1.47,142.251.118.119,32521,443
1783817346.8798866,d4:e9:8a:f7:44:46,1c:ec:72:39:95:20,2048,113,6,142.251.118.119,172.16.1.47,443,32521
1783817346.8799715,d4:e9:8a:f7:44:46,1c:ec:72:39:95:20,2048,113,6,142.251.118.119,172.16.1.47,443,32521
1783817346.880023,1c:ec:72:39:95:20,d4:e9:8a:f7:44:46,2048,128,6,172.16.1.47,142.251.118.119,32521,443
1783817346.8800955,d4:e9:8a:f7:44:46,1c:ec:72:39:95:20,2048,113,6,142.251.118.119,172.16.1.47,443,32521
1783817346.8801668,d4:e9:8a:f7:44:46,1c:ec:72:39:95:20,2048,113,6,142.251.118.119,172.16.1.47,443,32521
1783817346.8802068,1c:ec:72:39:95:20,d4:e9:8a:f7:44:46,2048,128,6,172.16.1.47,142.251.118.119,32521,443
1783817346.8802693,d4:e9:8a:f7:44:46,1c:ec:72:39:95:20,2048,113,6,142.251.118.119,172.16.1.47,443,32521
1783817346.8803384,d4:e9:8a:f7:44:46,1c:ec:72:39:95:20,2048,113,6,142.251.118.119,172.16.1.47,443,32521
1783817346.880407,1c:ec:72:39:95:20,d4:e9:8a:f7:44:46,2048,128,6,172.16.1.47,142.251.118.119,32521,443
1783817346.8804758,d4:e9:8a:f7:44:46,1c:ec:72:39:95:20,2048,113,6,142.251.119.132,172.16.1.47,443,40222
1783817346.8805442,d4:e9:8a:f7:44:46,1c:ec:72:39:95:20,2048,113,6,142.251.118.119,172.16.1.47,443,32521
1783817346.880637,1c:ec:72:39:95:20,d4:e9:8a:f7:44:46,2048,128,6,172.16.1.47,142.251.119.132,40222,443
1783817346.8806756,d4:e9:8a:f7:44:46,1c:ec:72:39:95:20,2048,113,6,142.251.118.119,172.16.1.47,443,32521
1783817346.880713,1c:ec:72:39:95:20,d4:e9:8a:f7:44:46,2048,128,6,172.16.1.47,142.251.118.119,32521,443
1783817346.880771,d4:e9:8a:f7:44:46,1c:ec:72:39:95:20,2048,113,6,142.251.118.119,172.16.1.47,443,32521
1783817346.880825,d4:e9:8a:f7:44:46,1c:ec:72:39:95:20,2048,113,6,142.251.118.119,172.16.1.47,443,32521
1783817346.8808827,1c:ec:72:39:95:20,d4:e9:8a:f7:44:46,2048,128,6,172.16.1.47,142.251.118.119,32521,443
1783817346.8809445,d4:e9:8a:f7:44:46,1c:ec:72:39:95:20,2048,113,6,142.251.118.119,172.16.1.47,443,32521
1783817346.881003,d4:e9:8a:f7:44:46,1c:ec:72:39:95:20,2048,113,6,142.251.118.119,172.16.1.47,443,32521
