timestamp,rtt(ms),success
2026-07-14 01:32:23.919402,7.5,1
2026-07-14 01:32:23.923491,0.952,1
2026-07-14 01:32:23.926102,0.768,1
2026-07-14 01:32:23.928563,0.897,1
2026-07-14 01:32:23.931195,0.847,1
2026-07-14 01:32:23.933588,0.852,1
2026-07-14 01:32:23.936183,0.827,1
2026-07-14 01:32:23.938625,0.819,1
2026-07-14 01:32:23.941060,0.878,1
2026-07-14 01:32:23.943545,0.812,1
2026-07-14 01:32:23.946270,0.785,1
2026-07-14 01:32:23.948823,0.883,1
2026-07-14 01:32:23.951324,0.861,1
2026-07-14 01:32:23.954467,1.32,1
2026-07-14 01:32:23.957516,1.27,1
2026-07-14 01:32:23.960165,0.819,1
2026-07-14 01:32:23.963230,1.18,1
2026-07-14 01:32:23.965754,0.82,1
2026-07-14 01:32:23.968465,0.889,1
2026-07-14 01:32:23.971175,0.811,1
2026-07-14 01:32:23.973783,0.795,1
2026-07-14 01:32:23.977054,1.56,1
2026-07-14 01:32:23.979719,0.876,1
2026-07-14 01:32:23.982220,0.849,1
2026-07-14 01:32:23.984756,0.904,1
2026-07-14 01:32:23.987481,0.81,1
2026-07-14 01:32:23.990440,0.792,1
2026-07-14 01:32:23.992954,0.831,1
2026-07-14 01:32:23.996020,1.45,1
2026-07-14 01:32:23.998544,0.811,1
2026-07-14 01:32:24.001020,0.791,1
2026-07-14 01:32:24.003500,0.804,1
2026-07-14 01:32:24.008825,3.55,1
2026-07-14 01:32:24.011408,0.768,1
2026-07-14 01:32:24.013828,0.88,1
2026-07-14 01:32:24.016183,0.832,1
2026-07-14 01:32:24.018729,0.805,1
2026-07-14 01:32:24.021372,0.813,1
2026-07-14 01:32:24.023945,0.781,1
2026-07-14 01:32:24.026518,0.848,1
2026-07-14 01:32:24.028798,0.804,1
2026-07-14 01:32:24.031051,0.796,1
2026-07-14 01:32:24.033443,0.857,1
2026-07-14 01:32:24.036108,0.821,1
2026-07-14 01:32:24.038983,1.21,1
2026-07-14 01:32:24.042150,1.25,1
2026-07-14 01:32:24.045118,0.871,1
2026-07-14 01:32:24.047768,0.909,1
2026-07-14 01:32:24.050620,1.28,1
2026-07-14 01:32:24.053249,0.827,1
2026-07-14 01:32:24.055840,0.796,1
2026-07-14 01:32:24.058604,0.84,1
2026-07-14 01:32:24.061410,1.08,1
2026-07-14 01:32:24.064953,1.69,1
2026-07-14 01:32:24.067843,1.12,1
2026-07-14 01:32:24.075984,6.2,1
2026-07-14 01:32:24.086310,8.34,1
2026-07-14 01:32:24.089256,1.09,1
2026-07-14 01:32:24.091880,0.869,1
2026-07-14 01:32:24.096386,2.64,1
2026-07-14 01:32:24.099045,0.97,1
2026-07-14 01:32:24.102781,1.67,1
2026-07-14 01:32:24.107286,2.23,1
2026-07-14 01:32:24.110029,0.992,1
2026-07-14 01:32:24.113522,1.77,1
2026-07-14 01:32:24.118965,3.42,1
2026-07-14 01:32:24.124327,3.3,1
2026-07-14 01:32:24.128934,2.81,1
2026-07-14 01:32:24.131482,0.885,1
2026-07-14 01:32:24.134389,1.34,1
2026-07-14 01:32:24.137164,1.11,1
2026-07-14 01:32:24.140027,0.91,1
2026-07-14 01:32:24.142591,0.895,1
2026-07-14 01:32:24.146545,2.17,1
2026-07-14 01:32:24.149621,1.16,1
2026-07-14 01:32:24.152519,0.798,1
2026-07-14 01:32:24.154942,0.801,1
2026-07-14 01:32:24.157472,0.817,1
2026-07-14 01:32:24.159994,0.868,1
2026-07-14 01:32:24.162643,0.839,1
2026-07-14 01:32:24.165422,1.22,1
2026-07-14 01:32:24.167773,0.842,1
2026-07-14 01:32:24.170335,0.903,1
2026-07-14 01:32:24.173011,0.811,1
2026-07-14 01:32:24.175621,0.915,1
2026-07-14 01:32:24.178177,0.897,1
2026-07-14 01:32:24.181187,1.29,1
2026-07-14 01:32:24.184036,1.14,1
2026-07-14 01:32:24.186665,0.878,1
2026-07-14 01:32:24.189227,0.836,1
2026-07-14 01:32:24.191991,0.846,1
2026-07-14 01:32:24.194847,0.909,1
2026-07-14 01:32:24.197445,0.821,1
2026-07-14 01:32:24.200036,0.817,1
2026-07-14 01:32:24.204150,2.13,1
2026-07-14 01:32:24.207655,1.48,1
2026-07-14 01:32:24.211627,2.23,1
2026-07-14 01:32:24.216280,2.84,1
2026-07-14 01:32:24.219425,1.4,1
2026-07-14 01:32:24.222160,1.03,1
2026-07-14 01:32:24.226046,1.92,1
2026-07-14 01:32:24.228788,0.996,1
2026-07-14 01:32:24.231414,0.911,1
2026-07-14 01:32:24.233896,0.904,1
2026-07-14 01:32:24.236803,1.06,1
2026-07-14 01:32:24.239856,1.26,1
2026-07-14 01:32:24.242457,0.73,1
2026-07-14 01:32:24.245160,0.984,1
2026-07-14 01:32:24.248219,1.39,1
2026-07-14 01:32:24.250809,0.813,1
2026-07-14 01:32:24.253520,0.908,1
2026-07-14 01:32:24.256275,0.973,1
2026-07-14 01:32:24.258849,0.887,1
2026-07-14 01:32:24.261542,0.824,1
2026-07-14 01:32:24.264078,0.866,1
2026-07-14 01:32:24.266933,1.09,1
2026-07-14 01:32:24.270017,1.35,1
2026-07-14 01:32:24.272490,0.813,1
2026-07-14 01:32:24.275106,0.823,1
2026-07-14 01:32:24.278104,1.17,1
2026-07-14 01:32:24.281513,1.5,1
2026-07-14 01:32:24.284199,1.0,1
2026-07-14 01:32:24.286684,0.817,1
2026-07-14 01:32:24.290424,1.97,1
2026-07-14 01:32:24.293124,0.957,1
2026-07-14 01:32:24.295688,0.811,1
2026-07-14 01:32:24.298084,0.808,1
2026-07-14 01:32:24.300404,0.84,1
2026-07-14 01:32:24.302999,0.816,1
2026-07-14 01:32:24.305483,0.801,1
2026-07-14 01:32:24.309620,2.44,1
2026-07-14 01:32:24.312335,0.958,1
2026-07-14 01:32:24.314954,0.838,1
2026-07-14 01:32:24.317609,0.861,1
2026-07-14 01:32:24.320671,1.33,1
2026-07-14 01:32:24.324695,1.86,1
2026-07-14 01:32:24.328826,2.06,1
2026-07-14 01:32:24.332244,1.57,1
2026-07-14 01:32:24.336043,1.69,1
2026-07-14 01:32:24.341531,3.27,1
2026-07-14 01:32:24.346505,3.19,1
2026-07-14 01:32:24.358813,10.6,1
2026-07-14 01:32:24.362364,1.62,1
2026-07-14 01:32:24.365435,1.33,1
2026-07-14 01:32:24.368393,1.26,1
2026-07-14 01:32:24.371362,1.36,1
2026-07-14 01:32:24.374506,1.17,1
2026-07-14 01:32:24.377199,0.933,1
2026-07-14 01:32:24.381653,2.23,1
2026-07-14 01:32:24.384472,0.983,1
2026-07-14 01:32:24.387729,1.45,1
2026-07-14 01:32:24.390755,1.08,1
2026-07-14 01:32:24.394017,1.44,1
2026-07-14 01:32:24.396922,0.807,1
2026-07-14 01:32:24.399556,1.14,1
2026-07-14 01:32:24.402282,0.904,1
2026-07-14 01:32:24.406401,2.28,1
2026-07-14 01:32:24.409515,1.18,1
2026-07-14 01:32:24.412941,1.72,1
2026-07-14 01:32:24.417613,2.32,1
2026-07-14 01:32:24.420421,1.1,1
2026-07-14 01:32:24.423928,1.65,1
2026-07-14 01:32:24.426625,0.994,1
2026-07-14 01:32:24.429427,1.04,1
2026-07-14 01:32:24.432349,1.02,1
2026-07-14 01:32:24.436438,1.99,1
2026-07-14 01:32:24.439434,0.893,1
2026-07-14 01:32:24.442762,1.63,1
2026-07-14 01:32:24.445635,0.77,1
2026-07-14 01:32:24.449694,2.06,1
2026-07-14 01:32:24.452898,1.31,1
2026-07-14 01:32:24.456072,0.827,1
2026-07-14 01:32:24.458673,0.836,1
2026-07-14 01:32:24.461173,0.828,1
2026-07-14 01:32:24.463763,0.791,1
2026-07-14 01:32:24.467568,1.88,1
2026-07-14 01:32:24.471222,1.58,1
2026-07-14 01:32:24.474431,1.51,1
2026-07-14 01:32:24.476969,0.803,1
2026-07-14 01:32:24.479470,0.914,1
2026-07-14 01:32:24.482098,0.841,1
2026-07-14 01:32:24.484722,0.84,1
2026-07-14 01:32:24.488428,1.57,1
2026-07-14 01:32:24.491359,0.867,1
2026-07-14 01:32:24.494042,0.928,1
2026-07-14 01:32:24.496514,0.759,1
2026-07-14 01:32:24.499468,1.11,1
2026-07-14 01:32:24.501984,0.831,1
2026-07-14 01:32:24.506159,2.37,1
2026-07-14 01:32:24.509309,1.31,1
2026-07-14 01:32:24.512116,0.785,1
2026-07-14 01:32:24.515151,1.17,1
2026-07-14 01:32:24.518579,1.67,1
2026-07-14 01:32:24.522286,1.69,1
2026-07-14 01:32:24.525038,0.82,1
2026-07-14 01:32:24.527931,1.16,1
2026-07-14 01:32:24.531199,1.01,1
2026-07-14 01:32:24.533775,0.817,1
2026-07-14 01:32:24.536902,1.43,1
2026-07-14 01:32:24.540034,0.913,1
2026-07-14 01:32:24.542533,0.905,1
2026-07-14 01:32:24.545617,1.49,1
2026-07-14 01:32:24.548269,0.862,1
2026-07-14 01:32:24.551307,1.24,1
2026-07-14 01:32:24.555742,2.17,1
2026-07-14 01:32:24.558465,0.912,1
2026-07-14 01:32:24.561529,1.35,1
2026-07-14 01:32:24.564237,0.843,1
2026-07-14 01:32:24.566668,0.809,1
2026-07-14 01:32:24.569791,1.36,1
2026-07-14 01:32:24.573064,1.14,1
2026-07-14 01:32:24.575644,0.826,1
2026-07-14 01:32:24.578303,1.01,1
2026-07-14 01:32:24.581705,1.55,1
2026-07-14 01:32:24.584629,0.942,1
2026-07-14 01:32:24.587437,1.03,1
2026-07-14 01:32:24.591210,1.88,1
2026-07-14 01:32:24.594628,1.59,1
2026-07-14 01:32:24.597314,0.901,1
2026-07-14 01:32:24.599796,0.948,1
2026-07-14 01:32:24.602548,0.988,1
2026-07-14 01:32:24.605267,1.0,1
2026-07-14 01:32:24.607897,0.814,1
2026-07-14 01:32:24.610480,0.826,1
2026-07-14 01:32:24.613622,1.31,1
2026-07-14 01:32:24.616720,1.35,1
2026-07-14 01:32:24.619390,0.845,1
2026-07-14 01:32:24.622221,1.14,1
2026-07-14 01:32:24.624840,0.809,1
2026-07-14 01:32:24.628601,1.62,1
2026-07-14 01:32:24.631960,1.21,1
2026-07-14 01:32:24.634518,0.796,1
2026-07-14 01:32:24.637118,0.831,1
2026-07-14 01:32:24.639809,0.815,1
2026-07-14 01:32:24.642523,1.09,1
2026-07-14 01:32:24.645139,0.809,1
2026-07-14 01:32:24.647555,0.839,1
2026-07-14 01:32:24.650420,0.793,1
2026-07-14 01:32:24.652900,0.738,1
2026-07-14 01:32:24.655525,0.828,1
2026-07-14 01:32:24.658562,1.47,1
2026-07-14 01:32:24.661335,0.966,1
2026-07-14 01:32:24.665439,2.26,1
2026-07-14 01:32:24.668614,0.972,1
2026-07-14 01:32:24.671409,0.837,1
2026-07-14 01:32:24.674158,0.834,1
2026-07-14 01:32:24.676654,0.808,1
2026-07-14 01:32:24.679208,0.86,1
2026-07-14 01:32:24.681801,0.888,1
2026-07-14 01:32:24.684578,0.978,1
2026-07-14 01:32:24.687078,0.836,1
2026-07-14 01:32:24.689694,0.787,1
2026-07-14 01:32:24.692211,0.897,1
2026-07-14 01:32:24.694897,1.12,1
2026-07-14 01:32:24.697657,0.916,1
2026-07-14 01:32:24.701228,1.92,1
2026-07-14 01:32:24.704119,1.32,1
2026-07-14 01:32:24.707684,0.868,1
2026-07-14 01:32:24.710699,1.35,1
2026-07-14 01:32:24.713416,0.845,1
2026-07-14 01:32:24.716470,1.39,1
2026-07-14 01:32:24.719058,0.873,1
2026-07-14 01:32:24.721794,1.02,1
2026-07-14 01:32:24.724217,0.851,1
2026-07-14 01:32:24.726791,0.823,1
2026-07-14 01:32:24.729489,0.877,1
2026-07-14 01:32:24.732067,0.843,1
2026-07-14 01:32:24.734745,0.859,1
2026-07-14 01:32:24.737511,0.93,1
2026-07-14 01:32:24.740774,1.38,1
2026-07-14 01:32:24.743449,0.852,1
2026-07-14 01:32:24.745962,0.872,1
2026-07-14 01:32:24.749870,1.91,1
2026-07-14 01:32:24.752775,0.888,1
2026-07-14 01:32:24.755426,0.778,1
2026-07-14 01:32:24.757999,0.835,1
2026-07-14 01:32:24.760969,1.17,1
2026-07-14 01:32:24.763681,0.936,1
2026-07-14 01:32:24.766241,0.834,1
2026-07-14 01:32:24.768803,0.849,1
2026-07-14 01:32:24.771434,0.747,1
2026-07-14 01:32:24.774001,0.821,1
2026-07-14 01:32:24.776433,0.803,1
2026-07-14 01:32:24.779152,1.05,1
2026-07-14 01:32:24.781796,0.837,1
2026-07-14 01:32:24.784439,0.814,1
2026-07-14 01:32:24.786933,0.837,1
2026-07-14 01:32:24.789466,0.917,1
2026-07-14 01:32:24.792222,0.881,1
2026-07-14 01:32:24.795442,1.37,1
2026-07-14 01:32:24.798385,1.11,1
2026-07-14 01:32:24.801518,0.86,1
2026-07-14 01:32:24.804376,1.02,1
2026-07-14 01:32:24.806903,0.836,1
2026-07-14 01:32:24.809182,0.817,1
2026-07-14 01:32:24.813010,2.26,1
2026-07-14 01:32:24.816281,1.44,1
2026-07-14 01:32:24.819297,0.847,1
2026-07-14 01:32:24.821889,0.919,1
2026-07-14 01:32:24.824647,0.86,1
2026-07-14 01:32:24.827132,0.851,1
2026-07-14 01:32:24.829883,0.902,1
2026-07-14 01:32:24.832470,0.73,1
2026-07-14 01:32:24.834842,0.807,1
2026-07-14 01:32:24.837570,1.02,1
2026-07-14 01:32:24.840241,0.862,1
2026-07-14 01:32:24.842811,0.86,1
2026-07-14 01:32:24.845822,0.953,1
2026-07-14 01:32:24.851395,3.5,1
2026-07-14 01:32:24.855354,1.72,1
2026-07-14 01:32:24.858383,1.05,1
2026-07-14 01:32:24.861018,0.897,1
2026-07-14 01:32:24.863411,0.822,1
2026-07-14 01:32:24.865949,0.814,1
2026-07-14 01:32:24.868429,0.86,1
2026-07-14 01:32:24.871413,1.25,1
2026-07-14 01:32:24.873980,0.82,1
2026-07-14 01:32:24.876912,1.28,1
2026-07-14 01:32:24.880128,1.42,1
2026-07-14 01:32:24.882747,0.819,1
2026-07-14 01:32:24.885668,1.41,1
2026-07-14 01:32:24.888431,1.13,1
2026-07-14 01:32:24.891206,1.12,1
2026-07-14 01:32:24.893575,0.771,1
2026-07-14 01:32:24.896329,0.945,1
2026-07-14 01:32:24.899554,1.64,1
2026-07-14 01:32:24.902046,0.839,1
2026-07-14 01:32:24.904906,1.1,1
2026-07-14 01:32:24.908112,1.37,1
2026-07-14 01:32:24.910751,0.773,1
2026-07-14 01:32:24.914451,2.02,1
2026-07-14 01:32:24.917100,0.878,1
2026-07-14 01:32:24.920145,1.23,1
2026-07-14 01:32:24.923180,0.796,1
2026-07-14 01:32:24.925767,0.815,1
2026-07-14 01:32:24.931834,4.06,1
2026-07-14 01:32:24.935769,1.03,1
2026-07-14 01:32:24.938418,1.01,1
2026-07-14 01:32:24.941169,0.854,1
2026-07-14 01:32:24.943829,0.941,1
2026-07-14 01:32:24.947910,2.27,1
2026-07-14 01:32:24.950934,0.834,1
2026-07-14 01:32:24.953405,0.811,1
2026-07-14 01:32:24.956099,1.13,1
2026-07-14 01:32:24.958691,0.761,1
2026-07-14 01:32:24.961597,1.12,1
2026-07-14 01:32:24.965029,1.54,1
2026-07-14 01:32:24.968407,1.17,1
2026-07-14 01:32:24.971129,0.953,1
2026-07-14 01:32:24.974366,1.4,1
2026-07-14 01:32:24.976979,0.874,1
2026-07-14 01:32:24.980828,2.02,1
2026-07-14 01:32:24.983871,0.832,1
2026-07-14 01:32:24.986618,0.87,1
2026-07-14 01:32:24.989328,0.984,1
2026-07-14 01:32:24.991864,0.832,1
2026-07-14 01:32:24.995485,1.89,1
2026-07-14 01:32:24.999114,1.62,1
2026-07-14 01:32:25.001696,0.819,1
2026-07-14 01:32:25.005323,2.0,1
2026-07-14 01:32:25.008779,1.53,1
2026-07-14 01:32:25.011605,0.921,1
2026-07-14 01:32:25.014177,0.876,1
2026-07-14 01:32:25.017015,1.05,1
2026-07-14 01:32:25.019551,0.859,1
2026-07-14 01:32:25.022986,1.49,1
2026-07-14 01:32:25.025744,0.862,1
2026-07-14 01:32:25.028618,1.08,1
2026-07-14 01:32:25.031183,0.841,1
2026-07-14 01:32:25.034081,1.11,1
2026-07-14 01:32:25.038444,2.6,1
2026-07-14 01:32:25.041254,0.829,1
2026-07-14 01:32:25.044046,1.12,1
2026-07-14 01:32:25.046733,0.887,1
2026-07-14 01:32:25.049674,1.17,1
2026-07-14 01:32:25.052465,0.923,1
2026-07-14 01:32:25.055009,0.812,1
2026-07-14 01:32:25.057585,0.875,1
2026-07-14 01:32:25.062130,2.61,1
2026-07-14 01:32:25.064812,0.846,1
2026-07-14 01:32:25.067489,0.826,1
2026-07-14 01:32:25.070309,0.949,1
2026-07-14 01:32:25.072616,0.776,1
2026-07-14 01:32:25.075747,1.54,1
2026-07-14 01:32:25.079010,1.07,1
2026-07-14 01:32:25.081732,1.24,1
2026-07-14 01:32:25.084412,0.834,1
2026-07-14 01:32:25.086906,0.827,1
2026-07-14 01:32:25.089296,0.737,1
2026-07-14 01:32:25.091717,0.748,1
2026-07-14 01:32:25.094365,0.934,1
2026-07-14 01:32:25.097254,1.07,1
2026-07-14 01:32:25.099915,0.925,1
2026-07-14 01:32:25.105425,3.46,1
2026-07-14 01:32:25.108370,0.727,1
2026-07-14 01:32:25.111810,1.59,1
2026-07-14 01:32:25.114632,0.995,1
2026-07-14 01:32:25.118796,2.1,1
2026-07-14 01:32:25.123474,2.65,1
2026-07-14 01:32:25.127744,2.4,1
2026-07-14 01:32:25.131248,1.57,1
2026-07-14 01:32:25.134616,1.26,1
2026-07-14 01:32:25.137327,0.898,1
2026-07-14 01:32:25.140199,1.29,1
2026-07-14 01:32:25.143527,1.57,1
2026-07-14 01:32:25.146514,1.29,1
2026-07-14 01:32:25.149804,1.53,1
2026-07-14 01:32:25.152783,0.83,1
2026-07-14 01:32:25.155479,0.885,1
2026-07-14 01:32:25.158567,1.33,1
2026-07-14 01:32:25.161157,0.821,1
2026-07-14 01:32:25.164181,1.34,1
2026-07-14 01:32:25.167165,1.23,1
2026-07-14 01:32:25.172024,3.09,1
2026-07-14 01:32:25.174950,0.984,1
2026-07-14 01:32:25.179597,2.8,1
2026-07-14 01:32:25.182393,0.892,1
2026-07-14 01:32:25.185149,0.966,1
2026-07-14 01:32:25.188445,1.45,1
2026-07-14 01:32:25.191128,0.771,1
2026-07-14 01:32:25.194525,1.43,1
2026-07-14 01:32:25.197074,0.951,1
2026-07-14 01:32:25.199988,1.09,1
2026-07-14 01:32:25.203119,0.92,1
2026-07-14 01:32:25.205774,0.884,1
2026-07-14 01:32:25.208531,0.831,1
