timestamp,rtt(ms),success
2026-07-14 01:48:13.193422,,0
2026-07-14 01:48:13.397890,201.0,1
2026-07-14 01:48:13.604033,203.0,1
2026-07-14 01:48:13.705119,98.2,1
2026-07-14 01:48:13.714127,6.85,1
2026-07-14 01:48:13.721793,5.49,1
2026-07-14 01:48:13.730744,6.49,1
2026-07-14 01:48:13.739852,6.9,1
2026-07-14 01:48:13.749640,7.21,1
2026-07-14 01:48:13.759319,7.06,1
2026-07-14 01:48:13.765104,,0
2026-07-14 01:48:13.771359,4.01,1
2026-07-14 01:48:13.807667,33.6,1
2026-07-14 01:48:13.814590,3.98,1
2026-07-14 01:48:13.819910,3.41,1
2026-07-14 01:48:13.825520,3.28,1
2026-07-14 01:48:13.831519,3.24,1
2026-07-14 01:48:13.837538,4.02,1
2026-07-14 01:48:13.842358,2.82,1
2026-07-14 01:48:13.848113,3.35,1
2026-07-14 01:48:13.853525,3.31,1
2026-07-14 01:48:13.859226,3.49,1
2026-07-14 01:48:13.866866,5.54,1
2026-07-14 01:48:13.873573,4.3,1
2026-07-14 01:48:13.879209,3.37,1
2026-07-14 01:48:13.885265,4.0,1
2026-07-14 01:48:13.891391,3.71,1
2026-07-14 01:48:13.897435,3.59,1
2026-07-14 01:48:13.903462,4.1,1
2026-07-14 01:48:13.910614,4.76,1
2026-07-14 01:48:13.916382,3.58,1
2026-07-14 01:48:13.921866,3.39,1
2026-07-14 01:48:13.927974,3.59,1
2026-07-14 01:48:13.933743,3.68,1
2026-07-14 01:48:13.939324,3.6,1
2026-07-14 01:48:13.945577,3.81,1
2026-07-14 01:48:13.951504,3.65,1
2026-07-14 01:48:13.957434,3.51,1
2026-07-14 01:48:13.963617,3.88,1
2026-07-14 01:48:13.969529,3.63,1
2026-07-14 01:48:13.975825,4.14,1
2026-07-14 01:48:13.981642,3.73,1
2026-07-14 01:48:13.988232,3.93,1
2026-07-14 01:48:13.994570,3.96,1
2026-07-14 01:48:14.000452,3.61,1
2026-07-14 01:48:14.006492,3.75,1
2026-07-14 01:48:14.013562,5.08,1
2026-07-14 01:48:14.020816,4.89,1
2026-07-14 01:48:14.026431,3.66,1
2026-07-14 01:48:14.032315,3.64,1
2026-07-14 01:48:14.038437,3.83,1
2026-07-14 01:48:14.045063,4.43,1
2026-07-14 01:48:14.050734,3.58,1
2026-07-14 01:48:14.056876,3.97,1
2026-07-14 01:48:14.064052,5.14,1
2026-07-14 01:48:14.070197,3.96,1
2026-07-14 01:48:14.076200,3.81,1
2026-07-14 01:48:14.082158,3.66,1
2026-07-14 01:48:14.088287,3.77,1
2026-07-14 01:48:14.094708,4.11,1
2026-07-14 01:48:14.100936,4.14,1
2026-07-14 01:48:14.106986,3.85,1
2026-07-14 01:48:14.113976,4.8,1
2026-07-14 01:48:14.118928,2.93,1
2026-07-14 01:48:14.123824,2.65,1
2026-07-14 01:48:14.130313,4.26,1
2026-07-14 01:48:14.135889,3.52,1
2026-07-14 01:48:14.141726,3.76,1
2026-07-14 01:48:14.147111,3.45,1
2026-07-14 01:48:14.151950,2.76,1
2026-07-14 01:48:14.156806,2.69,1
2026-07-14 01:48:14.162487,3.36,1
2026-07-14 01:48:14.167689,2.86,1
2026-07-14 01:48:14.172797,2.72,1
2026-07-14 01:48:14.178660,3.73,1
2026-07-14 01:48:14.184223,3.42,1
2026-07-14 01:48:14.190582,3.79,1
2026-07-14 01:48:14.195588,2.83,1
2026-07-14 01:48:14.200773,3.28,1
2026-07-14 01:48:14.206148,3.34,1
2026-07-14 01:48:14.213701,5.41,1
2026-07-14 01:48:14.219205,3.42,1
2026-07-14 01:48:14.224947,3.72,1
2026-07-14 01:48:14.230991,3.83,1
