time_stamp,MAC_dst,MAC_src,ETher_type,ttl,proto,IP_src,IP_dst,sport,dport
1783815009.4030592,01:00:5e:00:00:fb,d4:e9:8a:f7:44:46,2048,1,17,172.16.1.47,224.0.0.251,5353,5353
1783815009.4032006,1c:ec:72:39:95:20,d4:e9:8a:f7:44:46,2048,128,6,172.16.1.47,20.42.65.89,40048,443
1783815009.4032936,d4:e9:8a:f7:44:46,1c:ec:72:39:95:20,2048,92,6,20.42.65.89,172.16.1.47,443,40048
1783815009.4033732,1c:ec:72:39:95:20,d4:e9:8a:f7:44:46,2048,128,6,172.16.1.47,20.42.65.89,40048,443
1783815009.4034503,1c:ec:72:39:95:20,d4:e9:8a:f7:44:46,2048,128,6,172.16.1.47,20.42.65.89,40048,443
1783815009.4035234,d4:e9:8a:f7:44:46,1c:ec:72:39:95:20,2048,92,6,20.42.65.89,172.16.1.47,443,40048
1783815009.4035993,1c:ec:72:39:95:20,d4:e9:8a:f7:44:46,2048,128,6,172.16.1.47,20.42.65.89,40048,443
1783815009.4036727,d4:e9:8a:f7:44:46,1c:ec:72:39:95:20,2048,92,6,20.42.65.89,172.16.1.47,443,40048
1783815009.403744,d4:e9:8a:f7:44:46,1c:ec:72:39:95:20,2048,92,6,20.42.65.89,172.16.1.47,443,40048
1783815009.403817,d4:e9:8a:f7:44:46,1c:ec:72:39:95:20,2048,92,6,20.42.65.89,172.16.1.47,443,40048
1783815009.4038901,d4:e9:8a:f7:44:46,1c:ec:72:39:95:20,2048,92,6,20.42.65.89,172.16.1.47,443,40048
1783815009.4039645,d4:e9:8a:f7:44:46,1c:ec:72:39:95:20,2048,92,6,20.42.65.89,172.16.1.47,443,40048
1783815009.4040644,1c:ec:72:39:95:20,d4:e9:8a:f7:44:46,2048,128,6,172.16.1.47,20.42.65.89,40048,443
1783815009.4041386,1c:ec:72:39:95:20,d4:e9:8a:f7:44:46,2048,128,6,172.16.1.47,20.42.65.89,40048,443
1783815009.4042099,1c:ec:72:39:95:20,d4:e9:8a:f7:44:46,2048,128,6,172.16.1.47,20.42.65.89,40048,443
1783815009.4042823,d4:e9:8a:f7:44:46,1c:ec:72:39:95:20,2048,92,6,20.42.65.89,172.16.1.47,443,40048
1783815009.4043546,d4:e9:8a:f7:44:46,1c:ec:72:39:95:20,2048,92,6,20.42.65.89,172.16.1.47,443,40048
