time_stamp,MAC_dst,MAC_src,ETher_type,ttl,proto,IP_src,IP_dst,sport,dport
1783814586.0354633,18:bd:ad:17:b9:bf,d4:e9:8a:f7:44:46,2048,128,6,192.168.1.3,20.184.175.15,39524,443
1783814586.0354939,18:bd:ad:17:b9:bf,d4:e9:8a:f7:44:46,2048,128,6,192.168.1.3,20.184.175.15,39524,443
1783814586.035714,d4:e9:8a:f7:44:46,18:bd:ad:17:b9:bf,2048,99,6,20.184.175.15,192.168.1.3,443,39524
1783814586.0357375,18:bd:ad:17:b9:bf,d4:e9:8a:f7:44:46,2048,128,6,192.168.1.3,20.184.175.15,39524,443
1783814586.0357633,ff:ff:ff:ff:ff:ff,2e:1b:a7:e7:6b:9f,2048,255,17,0.0.0.0,255.255.255.255,68,67
1783814586.0357897,ff:ff:ff:ff:ff:ff,18:bd:ad:17:b9:bf,2048,64,17,192.168.1.1,255.255.255.255,67,68
1783814586.0358162,d4:e9:8a:f7:44:46,18:bd:ad:17:b9:bf,2048,99,6,20.184.175.15,192.168.1.3,443,39524
1783814586.03584,d4:e9:8a:f7:44:46,18:bd:ad:17:b9:bf,2048,99,6,20.184.175.15,192.168.1.3,443,39524
1783814586.035863,d4:e9:8a:f7:44:46,18:bd:ad:17:b9:bf,2048,99,6,20.184.175.15,192.168.1.3,443,39524
1783814586.0360405,d4:e9:8a:f7:44:46,18:bd:ad:17:b9:bf,2048,99,6,20.184.175.15,192.168.1.3,443,39524
1783814586.036064,d4:e9:8a:f7:44:46,18:bd:ad:17:b9:bf,2048,99,6,20.184.175.15,192.168.1.3,443,39524
1783814586.0360882,18:bd:ad:17:b9:bf,d4:e9:8a:f7:44:46,2048,128,6,192.168.1.3,20.184.175.15,39524,443
1783814586.0361114,18:bd:ad:17:b9:bf,d4:e9:8a:f7:44:46,2048,128,6,192.168.1.3,20.184.175.15,39524,443
1783814586.036175,18:bd:ad:17:b9:bf,d4:e9:8a:f7:44:46,2048,128,6,192.168.1.3,20.184.175.15,39524,443
1783814586.0362113,d4:e9:8a:f7:44:46,18:bd:ad:17:b9:bf,2048,99,6,20.184.175.15,192.168.1.3,443,39524
1783814586.0362442,d4:e9:8a:f7:44:46,18:bd:ad:17:b9:bf,2048,99,6,20.184.175.15,192.168.1.3,443,39524
1783814586.0363135,18:bd:ad:17:b9:bf,d4:e9:8a:f7:44:46,2048,128,6,192.168.1.3,20.184.175.15,39524,443
1783814586.0363474,d4:e9:8a:f7:44:46,18:bd:ad:17:b9:bf,2048,99,6,20.184.175.15,192.168.1.3,443,39524
1783814586.0363793,18:bd:ad:17:b9:bf,d4:e9:8a:f7:44:46,2048,128,6,192.168.1.3,20.184.175.15,39524,443
1783814586.0364106,18:bd:ad:17:b9:bf,d4:e9:8a:f7:44:46,2048,128,6,192.168.1.3,20.184.175.15,39524,443
1783814586.0364451,18:bd:ad:17:b9:bf,d4:e9:8a:f7:44:46,2048,128,6,192.168.1.3,20.184.175.15,39524,443
