time_stamp,MAC_dst,MAC_src,ETher_type,ttl,proto,IP_src,IP_dst,sport,dport
1783815092.1306517,18:bd:ad:17:b3:df,d4:e9:8a:f7:44:46,2048,128,17,192.168.1.4,168.126.63.1,59998,53
1783815092.1307652,d4:e9:8a:f7:44:46,18:bd:ad:17:b3:df,2048,51,17,168.126.63.1,192.168.1.4,53,59998
1783815092.1308117,18:bd:ad:17:b3:df,d4:e9:8a:f7:44:46,2048,128,6,192.168.1.4,51.116.253.168,52463,443
1783815092.1308534,d4:e9:8a:f7:44:46,18:bd:ad:17:b3:df,2048,96,6,51.116.253.168,192.168.1.4,443,52463
1783815092.1308908,18:bd:ad:17:b3:df,d4:e9:8a:f7:44:46,2048,128,6,192.168.1.4,51.116.253.168,52463,443
1783815092.1309273,18:bd:ad:17:b3:df,d4:e9:8a:f7:44:46,2048,128,6,192.168.1.4,51.116.253.168,52463,443
1783815092.1309881,18:bd:ad:17:b3:df,d4:e9:8a:f7:44:46,2048,28,1,192.168.1.4,142.251.118.94,,
1783815092.131016,d4:e9:8a:f7:44:46,18:bd:ad:17:b3:df,2048,96,6,51.116.253.168,192.168.1.4,443,52463
1783815092.1310542,18:bd:ad:17:b3:df,d4:e9:8a:f7:44:46,2048,128,6,192.168.1.4,51.116.253.168,52463,443
1783815092.1311,d4:e9:8a:f7:44:46,18:bd:ad:17:b3:df,2048,106,1,142.251.118.94,192.168.1.4,,
1783815092.1311252,d4:e9:8a:f7:44:46,18:bd:ad:17:b3:df,2048,96,6,51.116.253.168,192.168.1.4,443,52463
1783815092.1311605,d4:e9:8a:f7:44:46,18:bd:ad:17:b3:df,2048,96,6,51.116.253.168,192.168.1.4,443,52463
1783815092.1311977,d4:e9:8a:f7:44:46,18:bd:ad:17:b3:df,2048,96,6,51.116.253.168,192.168.1.4,443,52463
1783815092.1312814,d4:e9:8a:f7:44:46,18:bd:ad:17:b3:df,2048,96,6,51.116.253.168,192.168.1.4,443,52463
1783815092.1313396,d4:e9:8a:f7:44:46,18:bd:ad:17:b3:df,2048,96,6,51.116.253.168,192.168.1.4,443,52463
1783815092.131377,18:bd:ad:17:b3:df,d4:e9:8a:f7:44:46,2048,128,6,192.168.1.4,51.116.253.168,52463,443
